"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","est_bee_num_by_wt_floor","mites_recov_3_washes","bees_without_mites","phor2","infest_200","dwv_num_sides_obs","dwv_tf","cdb_num_sides_obs","bees","wk_cells","dr_capbrd_cells_num","phoretic_mites_num_estimate","wk_cells_infested_estimate","dr_cells_infested_estimate","mites_total_estimate","cap_brd_indiv","indiv_total","indiv_adult_pct","indiv_capbrd_pct","bees_frames","wk_frames","honey_frames","pollen_frames","fob_at_all","fob_top_bip","pre_pattern","pre_phor2","pre_infest_200","pre_mites_tot","pre_bees","pre_bees_frames","pre_wk_cells","pre_wk_frames","pre_honey_frames","pre_pollen_frames"
"37","L76","Apivar",1,"18-Sep","0","QR","",3,"",375.5,375,22,353,5.85885486018642,3,4,1,3,14276.25,23073.6,323.4,836,346,109,1292,23397,37673.25,37.8949254444467,62.1050745555533,5.875,3.45,3.025,0.925,NA,NA,3,5.85885486018642,3,1292,14276.25,5.875,23073.6,3.45,3.025,0.925
"38","62","Apivar",1,"18-Sep","0","QS-B","",2,"Has EFB but possibly we may use the colony",274.7,274,5,269,1.8201674554059,27,1,0,3,10449,10032,0,190,1354,NA,1544,10032,20481,51.0180166984034,48.9819833015966,4.3,1.5,4.025,0.25,NA,NA,2,1.8201674554059,27,1544,10449,4.3,10032,1.5,4.025,0.25
"39","N22","Apivar",1,"18-Sep","0","QR","",3,"",347.3,347,47,300,13.5329686150302,28,1,0,3,5923.13,12456.4,269.5,801,1743,123,2669,12725.9,18649.03,31.7610621034981,68.2389378965019,2.4375,1.8625,4.825,0.125,NA,NA,3,13.5329686150302,28,2669,5923.13,2.4375,12456.4,1.8625,4.825,0.125
"40","L79","AEC",1,"18-Sep","0","QR","",3,"",304.6,304,20,284,6.56598818122127,15,6,1,0,10023.75,23826,107.8,658,1786,NA,2445,23933.8,33957.55,29.5184723279506,70.4815276720494,4.125,3.5625,2.65,0.465,NA,NA,3,6.56598818122127,15,2445,10023.75,4.125,23826,3.5625,2.65,0.465
"41","4","AEC",1,"18-Sep","0","QR","",2.5,"",336.9,336,20,316,5.93647966755714,29,6,1,4,9112.5,16552.8,269.5,540,2400,161,3102,16822.3,25934.8,35.1361876706202,64.8638123293798,3.75,2.475,4.715,0.35,NA,NA,2.5,5.93647966755714,29,3102,9112.5,3.75,16552.8,2.475,4.715,0.35
"42","S1","Apiguard_Api",1,"19-Sep","0","QS","",3.5,"",296.1,296,21,275,7.09219858156028,17,1,1,0,8383.5,16218.4,0,594,1378,NA,1973,16218.4,24601.9,34.0766363573545,65.9233636426455,3.45,2.425,4.1,NA,NA,NA,3.5,7.09219858156028,17,1973,8383.5,3.45,16218.4,2.425,4.1,NA
"43","17","Apivar",1,"19-Sep","0","QR","",2,"",281.3,281,19,262,6.7543547813722,20,0,0,0,7654.5,14295.6,0,516,1429,NA,1946,14295.6,21950.1,34.8722784862028,65.1277215137972,3.15,2.1375,3.225,NA,NA,NA,2,6.7543547813722,20,1946,7654.5,3.15,14295.6,2.1375,3.225,NA
"44","C8","Apiguard_Api",1,"19-Sep","0","QR","",2.5,"",300.6,300,29,271,9.64737192282102,50,1,1,0,9234,10282.8,0,890,2570,NA,3461,10282.8,19516.8,47.3130841121495,52.6869158878505,3.8,1.5375,6.525,NA,NA,NA,2.5,9.64737192282102,50,3461,9234,3.8,10282.8,1.5375,6.525,NA
"45","C2","AEC",1,"19-Sep","0","QS-MP","",2.5,"",319.7,319,13,306,4.06631216765718,13,0,0,0,19561.5,17806.8,0,795,1157,NA,1952,17806.8,37368.3,52.3478456338661,47.6521543661339,8.05,2.6625,3.125,NA,NA,NA,2.5,4.06631216765718,13,1952,19561.5,8.05,17806.8,2.6625,3.125,NA
"46","N51","AEC",1,"19-Sep","0","QR","",3.5,"",256,256,14,242,5.46875,32,1,1,0,12089.25,19646,485.1,661,3143,NA,3804,20131.1,32220.35,37.5205421418451,62.4794578581549,4.975,2.9375,6.375,NA,NA,NA,3.5,5.46875,32,3804,12089.25,4.975,19646,2.9375,6.375,NA
